"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"3035","智原","13,141,197","3,540","545,126,872","42.10","42.95","41.00","41.00","-","0.80","40.95","232","41.00","645","35.04",
"3036","文曄","2,711,550","988","105,937,960","38.85","39.45","38.85","38.90","+","0.05","38.90","113","39.10","1","8.33",
"3037","欣興","32,951,773","12,815","1,508,765,594","46.15","46.40","45.25","45.95","+","0.20","45.90","20","45.95","532","20.51",
"3038","全台","4,250,949","1,496","88,839,233","20.85","21.15","20.70","20.80"," ","0.00","20.80","93","20.85","1","12.46",
"3041","揚智","4,374,622","2,088","91,429,452","20.90","20.90","20.90","20.90","+","1.90","20.90","8,694","--","0","",
"3042","晶技","5,741,783","3,324","342,208,159","60.40","60.60","59.20","59.20","-","1.10","59.20","66","59.40","15","21.53",
"3043","科風","424,253","66","837,544","1.99","1.99","1.93","1.93"," ","0.00","1.92","1","1.93","7","5.08",
"3044","健鼎","9,823,210","4,834","1,317,440,026","131.00","136.50","130.50","134.50","+","2.00","134.50","7","135.00","45","11.90",
"3045","台灣大","11,072,114","4,281","1,188,819,246","107.50","108.50","106.50","107.00","-","0.50","107.00","284","107.50","56","23.62",
"3046","建碁","386,052","263","7,432,825","18.60","19.95","18.55","19.20","+","1.05","19.20","7","19.35","2","",
"3047","訊舟","1,498,479","545","14,026,484","9.26","9.50","9.21","9.22","+","0.02","9.22","36","9.25","2","",
"3048","益登","735,775","322","13,219,070","17.80","18.05","17.80","17.95","+","0.15","17.90","10","17.95","33","9.02",
"3049","和鑫","5,971,518","1,400","61,033,726","10.15","10.35","10.10","10.10","-","0.05","10.10","306","10.15","2","8.71",
"3050","鈺德","182,640","62","1,734,446","9.52","9.52","9.46","9.50","+","0.03","9.50","8","9.51","3","23.75",
"3051","力特","188,000","48","732,574","3.94","3.94","3.87","3.87","-","0.07","3.87","4","3.88","5","",
"3054","立萬利","18,743","17","445,409","23.70","23.85","23.70","23.85"," ","0.00","23.80","1","23.95","2","",
